Date,Ticker,% Drop,Open,Close,Recovery Date 50%,Recovery Date 75%,Recovery Date 90%,Best Recovery % Achieved,Recovery Quality,Headline Tags,Headline Link
2025-01-10,EBAY,-4.09,68.4,65.6,2025-01-30,,,0.58,Partial Recovery (50-75%),unknown,unknown
2025-01-10,EIX,-6.0,68.1,64.02,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-10,ENPH,-3.26,68.99,66.74,,,,0.06,Poor Recovery (<50%),unknown,unknown
2025-01-10,FCX,-3.75,40.17,38.66,2025-01-15,2025-01-15,2025-01-17,0.97,Full Recovery (90%+),unknown,unknown
2025-01-10,KHC,-3.13,29.05,28.15,2025-01-17,2025-01-17,2025-01-21,1.91,Full Recovery (90%+),unknown,unknown
2025-01-10,KKR,-3.29,145.55,140.75,2025-01-14,2025-01-15,2025-01-15,5.45,Full Recovery (90%+),unknown,unknown
2025-01-10,MKC,-3.24,73.35,70.97,2025-01-16,2025-01-16,2025-01-16,2.67,Full Recovery (90%+),unknown,unknown
2025-01-10,MOH,-4.02,298.05,286.08,2025-01-13,2025-01-21,2025-01-21,2.24,Full Recovery (90%+),unknown,unknown
2025-01-10,MPWR,-3.31,609.82,589.64,2025-01-15,2025-01-17,2025-01-17,5.32,Full Recovery (90%+),unknown,unknown
2025-01-10,NEE,-3.73,69.42,66.83,2025-01-15,2025-01-16,2025-01-16,2.47,Full Recovery (90%+),unknown,unknown
2025-01-10,NFLX,-3.31,866.4,837.69,2025-01-17,2025-01-21,2025-01-21,5.13,Full Recovery (90%+),unknown,unknown
2025-01-10,ON,-4.33,56.38,53.94,2025-01-13,2025-01-13,2025-01-23,0.95,Full Recovery (90%+),unknown,unknown
2025-01-10,PCG,-4.45,17.94,17.14,,,,0.16,Poor Recovery (<50%),unknown,unknown
2025-01-10,PYPL,-3.95,86.79,83.36,2025-01-14,2025-01-14,2025-01-14,2.46,Full Recovery (90%+),unknown,unknown
2025-01-10,REGN,-3.39,720.4,695.99,2025-01-13,2025-01-13,,0.82,Good Recovery (75-90%),unknown,unknown
2025-01-10,SJM,-3.54,103.53,99.86,2025-01-21,2025-01-24,2025-01-27,1.86,Full Recovery (90%+),unknown,unknown
2025-01-10,SRE,-3.82,81.12,78.02,2025-01-15,2025-01-15,2025-01-15,2.49,Full Recovery (90%+),unknown,unknown
2025-01-10,STZ,-10.49,201.91,180.74,,,,0.29,Poor Recovery (<50%),unknown,unknown
2025-01-10,TAP,-4.48,54.48,52.04,2025-01-13,2025-01-15,2025-01-16,1.72,Full Recovery (90%+),unknown,unknown
2025-01-10,UHS,-3.16,188.67,182.72,2025-01-21,2025-01-21,2025-01-21,1.4,Full Recovery (90%+),unknown,unknown
2025-01-10,VRSK,-3.56,278.13,268.21,2025-01-13,2025-01-16,2025-01-16,1.96,Full Recovery (90%+),unknown,unknown
2025-01-10,XEL,-4.04,65.49,62.84,2025-01-15,2025-01-16,2025-01-16,1.73,Full Recovery (90%+),unknown,unknown
2025-01-13,CEG,-6.14,296.94,278.72,2025-01-14,2025-01-15,2025-01-15,3.74,Full Recovery (90%+),unknown,unknown
2025-01-13,EIX,-10.79,63.23,56.4,2025-01-15,2025-01-17,,0.78,Good Recovery (75-90%),unknown,unknown
2025-01-13,HOLX,-3.7,72.99,70.29,2025-01-27,2025-01-27,2025-01-27,0.91,Full Recovery (90%+),unknown,unknown
2025-01-13,PCG,-6.57,17.33,16.2,2025-01-15,2025-01-21,2025-01-21,0.95,Full Recovery (90%+),unknown,unknown
2025-01-14,BIIB,-4.58,149.92,143.06,2025-01-27,2025-01-27,,0.83,Good Recovery (75-90%),unknown,unknown
2025-01-14,ENPH,-3.55,67.86,65.45,,,,0.33,Poor Recovery (<50%),unknown,unknown
2025-01-14,LLY,-5.01,782.88,743.63,2025-01-23,2025-01-24,2025-01-24,2.06,Full Recovery (90%+),unknown,unknown
2025-01-14,NVDA,-3.15,136.04,131.75,2025-01-15,2025-01-15,2025-01-15,3.6,Full Recovery (90%+),unknown,unknown
2025-01-14,REGN,-3.24,713.09,689.98,2025-01-15,,,0.54,Partial Recovery (50-75%),unknown,unknown
2025-01-14,SMCI,-4.44,31.95,30.53,2025-01-21,2025-01-21,2025-01-21,2.35,Full Recovery (90%+),unknown,unknown
2025-01-14,TSLA,-4.34,414.34,396.36,2025-01-15,2025-01-15,2025-01-15,1.77,Full Recovery (90%+),unknown,unknown
2025-01-14,WST,-3.28,339.89,328.75,2025-01-16,2025-01-21,2025-01-21,1.7,Full Recovery (90%+),unknown,unknown
2025-01-15,AES,-3.37,11.99,11.59,2025-01-16,,,0.56,Partial Recovery (50-75%),unknown,unknown
2025-01-15,APTV,-3.27,62.95,60.89,2025-01-22,2025-01-22,2025-01-23,1.59,Full Recovery (90%+),unknown,unknown
2025-01-15,BF-B,-3.88,34.83,33.48,2025-01-27,,,0.59,Partial Recovery (50-75%),unknown,unknown
2025-01-15,BIIB,-3.07,145.46,141.0,2025-01-23,2025-01-24,2025-01-24,1.74,Full Recovery (90%+),unknown,unknown
2025-01-15,CPT,-3.25,114.61,110.88,2025-01-27,2025-02-05,2025-02-05,1.18,Full Recovery (90%+),unknown,unknown
2025-01-15,CRL,-3.65,180.5,173.91,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-15,CZR,-3.53,34.6,33.38,2025-01-17,2025-01-24,2025-01-24,2.4,Full Recovery (90%+),unknown,unknown
2025-01-15,DG,-3.16,70.36,68.13,2025-01-21,2025-01-21,2025-01-21,2.11,Full Recovery (90%+),unknown,unknown
2025-01-15,ENPH,-3.91,68.51,65.83,,,,0.16,Poor Recovery (<50%),unknown,unknown
2025-01-15,EQR,-3.04,70.94,68.79,2025-01-31,2025-02-05,2025-02-05,1.13,Full Recovery (90%+),unknown,unknown
2025-01-15,INVH,-3.79,31.43,30.24,2025-01-17,2025-02-05,,0.85,Good Recovery (75-90%),unknown,unknown
2025-01-15,JCI,-3.05,81.57,79.08,2025-01-17,2025-01-21,2025-01-21,2.63,Full Recovery (90%+),unknown,unknown
2025-01-15,LULU,-3.8,391.54,376.66,2025-01-23,2025-01-23,2025-01-24,2.99,Full Recovery (90%+),unknown,unknown
2025-01-15,LW,-4.34,61.33,58.67,2025-01-21,2025-01-21,2025-01-21,1.37,Full Recovery (90%+),unknown,unknown
2025-01-15,PARA,-3.33,10.75,10.4,2025-01-23,2025-01-23,2025-01-23,2.0,Full Recovery (90%+),unknown,unknown
2025-01-15,PLD,-3.26,110.51,106.9,2025-01-16,2025-01-16,2025-01-21,3.68,Full Recovery (90%+),unknown,unknown
2025-01-15,TGT,-3.84,138.72,133.39,2025-01-21,2025-01-27,2025-01-27,1.48,Full Recovery (90%+),unknown,unknown
2025-01-15,UAL,-3.84,109.15,104.96,2025-01-17,2025-01-21,2025-01-21,1.33,Full Recovery (90%+),unknown,unknown
2025-01-15,VST,-3.33,174.7,168.88,2025-01-16,2025-01-16,2025-01-21,3.9,Full Recovery (90%+),unknown,unknown
2025-01-15,VTRS,-3.64,11.67,11.25,,,,0.07,Poor Recovery (<50%),unknown,unknown
2025-01-16,AAPL,-3.83,237.09,228.01,2025-01-28,2025-01-28,2025-01-28,1.22,Full Recovery (90%+),unknown,unknown
2025-01-16,FICO,-3.2,2034.69,1969.68,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-16,NVDA,-3.66,138.63,133.56,2025-01-17,2025-01-17,2025-01-21,2.69,Full Recovery (90%+),unknown,unknown
2025-01-16,ON,-3.06,55.2,53.51,2025-01-17,2025-01-21,2025-01-21,1.63,Full Recovery (90%+),unknown,unknown
2025-01-16,TXN,-4.0,193.74,185.99,2025-01-17,2025-01-21,2025-01-21,1.7,Full Recovery (90%+),unknown,unknown
2025-01-16,UNH,-3.73,528.09,508.42,2025-01-21,2025-01-23,2025-01-23,1.9,Full Recovery (90%+),unknown,unknown
2025-01-17,APA,-3.44,24.6,23.75,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-17,CRWD,-3.55,370.14,357.0,2025-01-21,2025-01-22,2025-01-22,4.92,Full Recovery (90%+),unknown,unknown
2025-01-17,FICO,-5.35,2007.95,1900.54,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-17,REGN,-3.37,704.43,680.71,2025-01-23,2025-02-05,2025-02-05,1.7,Full Recovery (90%+),unknown,unknown
2025-01-17,RF,-3.66,24.86,23.94,2025-01-27,,,0.62,Partial Recovery (50-75%),unknown,unknown
2025-01-17,ULTA,-3.16,418.23,405.01,2025-01-21,2025-01-21,2025-01-21,1.3,Full Recovery (90%+),unknown,unknown
2025-01-17,WBA,-3.91,13.03,12.52,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-21,ALB,-3.14,96.56,93.52,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-21,BKNG,-4.85,4915.38,4676.83,2025-01-23,2025-02-07,2025-02-10,0.95,Full Recovery (90%+),unknown,unknown
2025-01-21,CCL,-3.18,26.44,25.6,2025-01-28,2025-01-28,2025-01-28,3.44,Full Recovery (90%+),unknown,unknown
2025-01-21,DHI,-5.4,151.45,143.28,,,,0.43,Poor Recovery (<50%),unknown,unknown
2025-01-21,ERIE,-3.43,393.23,379.76,2025-01-27,2025-01-27,2025-01-27,2.35,Full Recovery (90%+),unknown,unknown
2025-01-21,EXPE,-4.05,188.65,181.02,2025-02-07,2025-02-07,2025-02-07,2.82,Full Recovery (90%+),unknown,unknown
2025-01-21,FSLR,-3.31,189.8,183.51,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-22,AES,-4.46,11.47,10.96,2025-01-23,2025-01-23,2025-01-24,0.9,Full Recovery (90%+),unknown,unknown
2025-01-22,ALB,-3.38,92.89,89.75,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-22,ALL,-3.02,190.07,184.33,2025-01-27,2025-01-27,2025-01-27,1.49,Full Recovery (90%+),unknown,unknown
2025-01-22,APTV,-3.68,65.13,62.73,2025-01-27,2025-02-11,,0.8,Good Recovery (75-90%),unknown,unknown
2025-01-22,AWK,-3.4,125.18,120.93,2025-01-27,2025-01-27,2025-01-27,1.93,Full Recovery (90%+),unknown,unknown
2025-01-22,D,-5.02,55.07,52.3,2025-01-27,2025-01-27,2025-01-27,1.21,Full Recovery (90%+),unknown,unknown
2025-01-22,EIX,-5.77,60.92,57.41,,,,0.16,Poor Recovery (<50%),unknown,unknown
2025-01-22,ES,-3.56,57.16,55.12,2025-01-27,2025-01-27,2025-01-27,2.75,Full Recovery (90%+),unknown,unknown
2025-01-22,EXPE,-4.48,181.42,173.29,2025-02-07,2025-02-07,2025-02-07,3.6,Full Recovery (90%+),unknown,unknown
2025-01-22,FCX,-3.34,40.26,38.92,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-22,FSLR,-6.18,183.23,171.9,,,,0.2,Poor Recovery (<50%),unknown,unknown
2025-01-22,GNRC,-3.81,165.0,158.72,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-22,LUV,-5.35,33.46,31.67,,,,0.4,Poor Recovery (<50%),unknown,unknown
2025-01-22,NCLH,-3.14,27.11,26.26,2025-01-28,2025-01-28,2025-01-28,3.31,Full Recovery (90%+),unknown,unknown
2025-01-22,NFLX,-4.41,998.03,953.99,2025-01-23,2025-02-04,2025-02-04,1.67,Full Recovery (90%+),unknown,unknown
2025-01-22,NRG,-4.05,114.52,109.88,,,,0.43,Poor Recovery (<50%),unknown,unknown
2025-01-22,OKE,-3.9,109.44,105.17,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-22,ORCL,-3.81,190.82,183.56,,,,0.31,Poor Recovery (<50%),unknown,unknown
2025-01-22,PCG,-4.42,17.17,16.42,,,,0.13,Poor Recovery (<50%),unknown,unknown
2025-01-22,SLB,-4.03,43.08,41.34,2025-01-27,,,0.52,Partial Recovery (50-75%),unknown,unknown
2025-01-22,SRE,-3.74,85.24,82.05,,,,0.2,Poor Recovery (<50%),unknown,unknown
2025-01-22,TRGP,-3.17,217.39,210.5,,,,0.02,Poor Recovery (<50%),unknown,unknown
2025-01-22,UAL,-6.8,115.85,107.97,,,,0.18,Poor Recovery (<50%),unknown,unknown
2025-01-22,VST,-3.18,192.66,186.54,2025-01-23,2025-01-23,,0.82,Good Recovery (75-90%),unknown,unknown
2025-01-22,VTR,-3.17,59.85,57.95,2025-01-23,2025-01-24,2025-01-24,1.81,Full Recovery (90%+),unknown,unknown
2025-01-22,WMB,-3.27,60.66,58.67,,,,0.18,Poor Recovery (<50%),unknown,unknown
2025-01-23,HAL,-3.22,28.7,27.77,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-23,JBHT,-3.18,175.42,169.84,2025-01-27,,,0.68,Partial Recovery (50-75%),unknown,unknown
2025-01-23,LDOS,-7.57,160.62,148.46,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-23,UAL,-5.33,108.8,103.0,2025-01-27,2025-01-29,2025-01-29,1.1,Full Recovery (90%+),unknown,unknown
2025-01-24,ABNB,-4.16,132.61,127.09,2025-01-28,2025-01-29,2025-01-29,2.53,Full Recovery (90%+),unknown,unknown
2025-01-24,ADI,-3.23,223.65,216.43,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-24,ANET,-3.11,133.31,129.17,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-24,CF,-3.3,90.55,87.56,2025-01-28,2025-01-29,2025-01-29,1.99,Full Recovery (90%+),unknown,unknown
2025-01-24,EXPE,-3.21,176.53,170.87,2025-02-07,2025-02-07,2025-02-07,5.64,Full Recovery (90%+),unknown,unknown
2025-01-24,FSLR,-3.19,173.79,168.25,,,,0.02,Poor Recovery (<50%),unknown,unknown
2025-01-24,GEV,-3.76,436.6,420.17,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-24,HCA,-3.35,323.2,312.36,2025-01-27,2025-01-27,2025-01-27,2.19,Full Recovery (90%+),unknown,unknown
2025-01-24,MCHP,-4.25,58.45,55.97,,,,0.34,Poor Recovery (<50%),unknown,unknown
2025-01-24,MPWR,-3.08,698.12,676.6,2025-02-07,2025-02-07,2025-02-07,1.94,Full Recovery (90%+),unknown,unknown
2025-01-24,MRNA,-4.1,43.18,41.41,2025-01-28,2025-01-28,2025-01-28,1.99,Full Recovery (90%+),unknown,unknown
2025-01-24,NVDA,-3.88,148.36,142.61,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-24,STLD,-3.43,126.19,121.86,2025-01-28,2025-01-28,2025-01-28,2.88,Full Recovery (90%+),unknown,unknown
2025-01-27,ANET,-8.5,109.62,100.3,2025-01-28,2025-01-29,2025-01-30,2.14,Full Recovery (90%+),unknown,unknown
2025-01-27,APH,-4.9,70.79,67.32,2025-01-29,2025-01-30,2025-01-30,1.24,Full Recovery (90%+),unknown,unknown
2025-01-27,AVGO,-5.28,212.76,201.52,2025-01-30,2025-01-30,2025-01-30,3.04,Full Recovery (90%+),unknown,unknown
2025-01-27,CDNS,-5.15,305.61,289.87,2025-01-28,2025-02-05,2025-02-10,1.0,Full Recovery (90%+),unknown,unknown
2025-01-27,CEG,-5.97,291.91,274.49,2025-01-29,2025-01-29,2025-01-29,2.68,Full Recovery (90%+),unknown,unknown
2025-01-27,CMI,-3.1,358.3,347.19,2025-01-30,2025-01-30,2025-01-30,2.25,Full Recovery (90%+),unknown,unknown
2025-01-27,CSCO,-3.76,60.98,58.69,2025-01-30,2025-02-03,2025-02-04,2.51,Full Recovery (90%+),unknown,unknown
2025-01-27,EQT,-5.46,51.11,48.32,2025-01-28,2025-01-29,2025-01-30,1.89,Full Recovery (90%+),unknown,unknown
2025-01-27,ETN,-5.44,328.29,310.41,2025-01-30,2025-01-30,,0.87,Good Recovery (75-90%),unknown,unknown
2025-01-27,ETR,-3.68,81.2,78.22,2025-01-30,2025-01-30,2025-02-03,1.68,Full Recovery (90%+),unknown,unknown
2025-01-27,GLW,-3.54,51.06,49.25,2025-01-28,2025-01-28,2025-01-28,2.26,Full Recovery (90%+),unknown,unknown
2025-01-27,HUBB,-3.45,427.81,413.05,2025-01-30,2025-01-30,,0.81,Good Recovery (75-90%),unknown,unknown
2025-01-27,IRM,-3.56,106.85,103.05,2025-02-06,,,0.58,Partial Recovery (50-75%),unknown,unknown
2025-01-27,JBL,-4.5,166.97,159.45,2025-02-05,2025-02-06,2025-02-10,1.35,Full Recovery (90%+),unknown,unknown
2025-01-27,KMI,-5.44,28.74,27.17,,,,0.41,Poor Recovery (<50%),unknown,unknown
2025-01-27,MPWR,-7.92,650.69,599.17,2025-01-30,2025-02-04,2025-02-04,2.31,Full Recovery (90%+),unknown,unknown
2025-01-27,MU,-3.95,94.74,90.99,2025-02-05,2025-02-06,2025-02-06,2.24,Full Recovery (90%+),unknown,unknown
2025-01-27,NI,-4.04,37.63,36.11,2025-01-30,2025-01-30,2025-02-03,2.35,Full Recovery (90%+),unknown,unknown
2025-01-27,NRG,-7.22,104.63,97.07,2025-01-30,2025-01-30,2025-01-30,1.39,Full Recovery (90%+),unknown,unknown
2025-01-27,NVDA,-5.11,124.79,118.41,2025-01-28,2025-01-28,2025-01-28,3.2,Full Recovery (90%+),unknown,unknown
2025-01-27,ORCL,-6.29,168.3,157.71,2025-01-28,2025-01-30,2025-01-30,1.94,Full Recovery (90%+),unknown,unknown
2025-01-27,PEG,-3.71,84.57,81.44,2025-01-30,,,0.64,Partial Recovery (50-75%),unknown,unknown
2025-01-27,PWR,-7.15,314.82,292.32,2025-01-30,2025-02-06,,0.88,Good Recovery (75-90%),unknown,unknown
2025-01-27,SMCI,-4.09,30.31,29.07,2025-02-05,2025-02-05,2025-02-05,15.19,Full Recovery (90%+),unknown,unknown
2025-01-27,TER,-3.44,124.43,120.14,,,,0.41,Poor Recovery (<50%),unknown,unknown
2025-01-27,TPL,-5.71,1330.26,1254.31,2025-01-30,2025-02-03,2025-02-03,1.82,Full Recovery (90%+),unknown,unknown
2025-01-27,TRGP,-3.23,205.15,198.51,2025-01-29,2025-01-30,2025-02-10,1.12,Full Recovery (90%+),unknown,unknown
2025-01-27,VST,-11.04,153.82,136.84,2025-01-28,2025-01-29,2025-01-29,2.31,Full Recovery (90%+),unknown,unknown
2025-01-27,WBA,-5.34,11.98,11.34,,,,0.19,Poor Recovery (<50%),unknown,unknown
2025-01-27,WMB,-5.7,57.34,54.06,2025-01-30,2025-02-13,,0.88,Good Recovery (75-90%),unknown,unknown
2025-01-28,AES,-3.67,11.25,10.84,2025-01-30,,,0.62,Partial Recovery (50-75%),unknown,unknown
2025-01-28,ARE,-4.25,100.17,95.91,,,,0.02,Poor Recovery (<50%),unknown,unknown
2025-01-28,BF-B,-3.81,34.15,32.85,,,,0.11,Poor Recovery (<50%),unknown,unknown
2025-01-28,BRO,-3.7,108.91,104.87,2025-02-06,2025-02-07,2025-02-07,1.64,Full Recovery (90%+),unknown,unknown
2025-01-28,DHR,-3.81,257.28,247.46,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-28,ENPH,-3.44,64.46,62.24,2025-02-03,2025-02-03,2025-02-04,1.92,Full Recovery (90%+),unknown,unknown
2025-01-28,GNRC,-3.9,155.25,149.19,2025-01-30,,,0.54,Partial Recovery (50-75%),unknown,unknown
2025-01-28,HII,-3.66,201.63,194.25,,,,0.2,Poor Recovery (<50%),unknown,unknown
2025-01-28,HPE,-6.86,22.86,21.29,,,,0.2,Poor Recovery (<50%),unknown,unknown
2025-01-28,IRM,-5.02,103.06,97.88,2025-01-30,2025-02-05,2025-02-05,1.43,Full Recovery (90%+),unknown,unknown
2025-01-28,LDOS,-4.73,148.06,141.06,,,,0.18,Poor Recovery (<50%),unknown,unknown
2025-01-28,LHX,-3.9,220.74,212.14,,,,0.0,Poor Recovery (<50%),unknown,unknown
2025-01-28,LMT,-3.43,470.23,454.1,,,,0.34,Poor Recovery (<50%),unknown,unknown
2025-01-28,LW,-4.69,62.92,59.97,,,,0.44,Poor Recovery (<50%),unknown,unknown
